s3,http,run
s3://sra-pub-src-9/SRR12570857/Sangue_4_S3_L001_R1_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570857/Sangue_4_S3_L001_R1_001.fastq.gz.1,SRR12570857
s3://sra-pub-src-9/SRR12570857/Sangue_4_S3_L001_R2_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570857/Sangue_4_S3_L001_R2_001.fastq.gz.1,SRR12570857
s3://sra-pub-src-9/SRR12570858/Sangue_40_S5_L001_R1_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570858/Sangue_40_S5_L001_R1_001.fastq.gz.1,SRR12570858
s3://sra-pub-src-9/SRR12570858/Sangue_40_S5_L001_R2_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570858/Sangue_40_S5_L001_R2_001.fastq.gz.1,SRR12570858
s3://sra-pub-src-9/SRR12570859/Sangue_40_S7_L002_R1_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570859/Sangue_40_S7_L002_R1_001.fastq.gz.1,SRR12570859
s3://sra-pub-src-9/SRR12570859/Sangue_40_S7_L002_R2_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570859/Sangue_40_S7_L002_R2_001.fastq.gz.1,SRR12570859
s3://sra-pub-src-9/SRR12570860/Sangue_40_S7_L003_R1_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570860/Sangue_40_S7_L003_R1_001.fastq.gz.1,SRR12570860
s3://sra-pub-src-9/SRR12570860/Sangue_40_S7_L003_R2_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570860/Sangue_40_S7_L003_R2_001.fastq.gz.1,SRR12570860
s3://sra-pub-src-10/SRR12570861/Sangue_40_S7_L004_R1_001.fastq.gz.1,https://sra-pub-src-10.s3.amazonaws.com/SRR12570861/Sangue_40_S7_L004_R1_001.fastq.gz.1,SRR12570861
s3://sra-pub-src-10/SRR12570861/Sangue_40_S7_L004_R2_001.fastq.gz.1,https://sra-pub-src-10.s3.amazonaws.com/SRR12570861/Sangue_40_S7_L004_R2_001.fastq.gz.1,SRR12570861
s3://sra-pub-src-11/SRR12570862/Sangue_40_S8_L001_R1_001.fastq.gz.1,https://sra-pub-src-11.s3.amazonaws.com/SRR12570862/Sangue_40_S8_L001_R1_001.fastq.gz.1,SRR12570862
s3://sra-pub-src-11/SRR12570862/Sangue_40_S8_L001_R2_001.fastq.gz.1,https://sra-pub-src-11.s3.amazonaws.com/SRR12570862/Sangue_40_S8_L001_R2_001.fastq.gz.1,SRR12570862
s3://sra-pub-src-14/SRR12570863/Sangue_40_S8_L002_R1_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570863/Sangue_40_S8_L002_R1_001.fastq.gz.1,SRR12570863
s3://sra-pub-src-14/SRR12570863/Sangue_40_S8_L002_R2_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570863/Sangue_40_S8_L002_R2_001.fastq.gz.1,SRR12570863
s3://sra-pub-src-12/SRR12570864/Sangue_40_S8_L003_R1_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570864/Sangue_40_S8_L003_R1_001.fastq.gz.1,SRR12570864
s3://sra-pub-src-12/SRR12570864/Sangue_40_S8_L003_R2_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570864/Sangue_40_S8_L003_R2_001.fastq.gz.1,SRR12570864
s3://sra-pub-src-14/SRR12570865/Sangue_40_S8_L004_R1_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570865/Sangue_40_S8_L004_R1_001.fastq.gz.1,SRR12570865
s3://sra-pub-src-14/SRR12570865/Sangue_40_S8_L004_R2_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570865/Sangue_40_S8_L004_R2_001.fastq.gz.1,SRR12570865
s3://sra-pub-src-13/SRR12570866/Sangue_40_S5_L002_R1_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570866/Sangue_40_S5_L002_R1_001.fastq.gz.1,SRR12570866
s3://sra-pub-src-13/SRR12570866/Sangue_40_S5_L002_R2_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570866/Sangue_40_S5_L002_R2_001.fastq.gz.1,SRR12570866
s3://sra-pub-src-12/SRR12570867/Sangue_40_S5_L003_R1_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570867/Sangue_40_S5_L003_R1_001.fastq.gz.1,SRR12570867
